ID,SRC_IP,DST_IP,TOS,TTL,LEN,PROTOCOLO,PUERTO_ORIGEN, PUERTO_DESTINO,ICMP_TYPE,ICMP_CODE,FLAGS
6563,192.168.1.77,40.79.167.9,0,128,158,TCP,64579,443,-1,-1,-A-
6564,192.168.1.77,40.79.167.9,0,128,1480,TCP,64579,443,-1,-1,-A-
6565,192.168.1.77,40.79.167.9,0,128,1480,TCP,64579,443,-1,-1,-A-
6566,192.168.1.77,40.79.167.9,0,128,1480,TCP,64579,443,-1,-1,-A-
6567,192.168.1.77,40.79.167.9,0,128,1480,TCP,64579,443,-1,-1,-A-
6568,192.168.1.77,40.79.167.9,0,128,1480,TCP,64579,443,-1,-1,-A-
6569,192.168.1.77,40.79.167.9,0,128,1156,TCP,64579,443,-1,-1,-A-
41565,40.79.167.9,192.168.1.77,0,114,40,TCP,443,64579,-1,-1,-A-
41566,40.79.167.9,192.168.1.77,0,114,40,TCP,443,64579,-1,-1,-A-
41567,40.79.167.9,192.168.1.77,0,114,75,TCP,443,64579,-1,-1,-A-
6570,192.168.1.77,40.79.167.9,0,128,40,TCP,64579,443,-1,-1,-A-
41568,40.79.167.9,192.168.1.77,0,114,139,TCP,443,64579,-1,-1,-A-
6571,192.168.1.77,40.79.167.9,0,128,40,TCP,64579,443,-1,-1,-A-
0,192.168.1.70,255.255.255.255,0,64,248,UDP,53282,6667,-1,-1,
59127,192.168.1.74,224.0.0.251,0,255,105,UDP,5353,5353,-1,-1,
35723,192.168.1.77,20.42.65.89,0,128,1169,TCP,58016,443,-1,-1,-A-
35724,192.168.1.77,20.42.65.89,0,128,1480,TCP,58016,443,-1,-1,-A-
35725,192.168.1.77,20.42.65.89,0,128,235,TCP,58016,443,-1,-1,-A-
43801,20.42.65.89,192.168.1.77,0,113,40,TCP,443,58016,-1,-1,-A-
43802,20.42.65.89,192.168.1.77,0,113,486,TCP,443,58016,-1,-1,-A-
35726,192.168.1.77,20.42.65.89,0,128,40,TCP,58016,443,-1,-1,-A-
0,192.168.1.65,255.255.255.255,0,64,248,UDP,59657,6667,-1,-1,
6460,192.168.1.77,135.234.174.40,0,128,41,TCP,51607,443,-1,-1,-A-
5100,135.234.174.40,192.168.1.77,0,48,52,TCP,443,51607,-1,-1,-A-
0,192.168.1.70,255.255.255.255,0,64,248,UDP,53282,6667,-1,-1,
0,192.168.1.65,255.255.255.255,0,64,248,UDP,59657,6667,-1,-1,
6572,192.168.1.77,40.79.167.9,0,128,158,TCP,64579,443,-1,-1,-A-
6573,192.168.1.77,40.79.167.9,0,128,79,TCP,64579,443,-1,-1,-A-
6574,192.168.1.77,40.79.167.9,0,128,1480,TCP,64579,443,-1,-1,-A-
6575,192.168.1.77,40.79.167.9,0,128,1480,TCP,64579,443,-1,-1,-A-
6576,192.168.1.77,40.79.167.9,0,128,529,TCP,64579,443,-1,-1,-A-
41569,40.79.167.9,192.168.1.77,0,114,40,TCP,443,64579,-1,-1,-A-
41570,40.79.167.9,192.168.1.77,0,114,40,TCP,443,64579,-1,-1,-A-
41571,40.79.167.9,192.168.1.77,0,114,79,TCP,443,64579,-1,-1,-A-
6577,192.168.1.77,40.79.167.9,0,128,40,TCP,64579,443,-1,-1,-A-
0,192.168.1.70,255.255.255.255,0,64,248,UDP,53282,6667,-1,-1,
41572,40.79.167.9,192.168.1.77,0,114,135,TCP,443,64579,-1,-1,-A-
6578,192.168.1.77,40.79.167.9,0,128,75,TCP,64579,443,-1,-1,-A-
